node_id,node_type,label,handle,degree,total_comments
UC3MYTqpQqlWBuCB7Th0e0PA,author,@isaaclopez7220,/@isaaclopez7220,1,1
UCOcUI5XkTYNMSFhZNMIPpGg,author,@hendersonlopez3864,/@hendersonlopez3864,1,1
UCOS8ViEkccrTZx2w2ccxotA,author,@OscarHernandez-q8y,/@OscarHernandez-q8y,1,1
UC3iIU62XKUOWuqL8BqBzj9A,author,@antonioduarte2288,/@antonioduarte2288,1,1
UCV3fr-YOixFKCZBbJP1-X4w,author,@albertoshernandez5251,/@albertoshernandez5251,1,5
UCmjppp6ujz3SAnULvP3sZMw,author,@marcomendez7509,/@marcomendez7509,1,1
UC5PyGvSfFM--OVKmQ3COu6g,author,@FreddyGmez,/@FreddyGmez,1,1
UCQqetiwzzmRNTM5OWuXarGQ,author,@isaiaslopezvelasquez1539,/@isaiaslopezvelasquez1539,1,1
UCCaYwkkbQGcvFoUmothVdQQ,author,@OsvaldoAguirre-l3i,/@OsvaldoAguirre-l3i,1,1
UCQgYjVngJRfPHDLGB5X6ZjA,author,@oscarnavas9996,/@oscarnavas9996,1,1
UCN2N_wYOw6fMwCeSzdXLPIw,author,@danielantoniogonzalezflore4901,/@danielantoniogonzalezflore4901,1,1
UC9vMq1YF-e7C-VO0SHkbUTA,author,@ErvinLeonardoCarreraLatín,/@ErvinLeonardoCarreraLat%C3%ADn,1,4
UC8F2V63KZ4ZEay6opX2hAQw,author,@carmenr6311,/@carmenr6311,1,1
UCheEJ5GZuIvV0fj-nXyVwXw,author,@rosaoliva9389,/@rosaoliva9389,1,1
UCujPF2nBgsTD62nWE3lcpIg,author,@victorarturoruanobautista7588,/@victorarturoruanobautista7588,1,1
UCV0iizTBoOfdAFX_thfI9BA,author,@BenjaminLarios-jd8nk,/@BenjaminLarios-jd8nk,1,1
UCp29O_C7cchZV8IxV7Crdag,author,@robertoescobar5507,/@robertoescobar5507,1,2
UCkxdJ_yGN2gghOMo2ybQtXQ,author,@11223344An,/@11223344An,1,1
UCjZgFEowMBrsjodqfovzdKw,author,@franciscoflores3120,/@franciscoflores3120,2,2
